false_positive_rate,true_positive_rate,threshold
0.00315955766192733,0.0487975296954944,0.9407602541932714
0.00315955766192733,0.04886514751955282,0.9407573940263163
0.00315955766192733,0.049000383167669664,0.9406560134929721
0.00315955766192733,0.049045461717041945,0.9406434892931627
0.00315955766192733,0.049090540266414226,0.9406342279629462
0.00315955766192733,0.04913561881578651,0.9406213456737698
0.00315955766192733,0.04920323663984493,0.9405892555123614
0.00315955766192733,0.0494060901120202,0.9404793692488592
0.00315955766192733,0.04949624721076476,0.940478132870985
0.00315955766192733,0.04954132576013704,0.9404671672133332
0.00315955766192733,0.0496314828588816,0.9403950764759196
0.00315955766192733,0.049721639957626164,0.9403883174243662
0.00315955766192733,0.04983433633105687,0.9402847764017885
0.00315955766192733,0.05008226835260441,0.9402738785931622
0.00315955766192733,0.05026258255009354,0.940191372888509
0.00315955766192733,0.05030766109946582,0.9401840223688356
0.00315955766192733,0.05033020037415196,0.9401650186328347
0.00315955766192733,0.05044289674758266,0.9401631593991375
0.00315955766192733,0.050487975296954944,0.9401539490137562
0.00315955766192733,0.050533053846327225,0.9400913309233772
0.00315955766192733,0.05062321094507179,0.9400860346072318
0.00315955766192733,0.05080352514256091,0.9399509869844798
0.00315955766192733,0.05105145716410846,0.939949126343353
0.00315955766192733,0.05123177136159758,0.9398075646590697
0.00315955766192733,0.05127684991096987,0.9397959125659209
0.00315955766192733,0.051592399756575834,0.9397799630874001
0.00315955766192733,0.052020645975612505,0.9394758780185689
0.00315955766192733,0.052065724524984786,0.939427106560013
0.00315955766192733,0.05224603872247391,0.9393218681971711
0.00315955766192733,0.05233619582121847,0.9393187528034095
0.00315955766192733,0.05267428494151058,0.9390385472899112
0.00315955766192733,0.05296729551243041,0.9390289843210265
0.00315955766192733,0.05305745261117497,0.9389970785701469
0.00315955766192733,0.05319268825929182,0.9388797868422974
0.00315955766192733,0.0532377668086641,0.9388773968841211
0.00315955766192733,0.05328284535803638,0.9388466598080288
0.00315955766192733,0.05332792390740866,0.9388350274068998
0.00315955766192733,0.053463159555525504,0.9387798778016602
0.00315955766192733,0.05380124867581761,0.9387749071325601
0.00315955766192733,0.053891405774562175,0.9387288713778225
0.00315955766192733,0.05413933779610972,0.9387279656969071
0.00315955766192733,0.05440980909234341,0.9385886378296643
0.00315955766192733,0.05447742691640183,0.9385766730483827
0.00315955766192733,0.05488313386075236,0.938272615242345
0.00315955766192733,0.055378997903847454,0.9382718872658029
