company_grouped,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
"Early Warning Services, LLC",905,1,0,1,0.8647,0.9988950276243094,1.0,0.11,0.11,0.0,99.89,100.0
"Paypal Holdings, Inc",960,1,0,1,0.7771,0.9989583333333333,1.0,0.1,0.1,0.0,99.9,100.0
CREDIT ACCEPTANCE CORPORATION,148,0,0,0,0.7328,1.0,1.0,0.0,0.0,0.0,100.0,100.0
BARCLAYS BANK DELAWARE,446,0,0,0,0.8122,1.0,1.0,0.0,0.0,0.0,100.0,100.0
"CITIBANK, N.A.",2271,0,0,0,0.8792,1.0,1.0,0.0,0.0,0.0,100.0,100.0
Ocwen Financial Corporation,440,0,0,0,0.8316,1.0,1.0,0.0,0.0,0.0,100.0,100.0
JPMORGAN CHASE & CO.,3253,0,0,0,0.8914,1.0,1.0,0.0,0.0,0.0,100.0,100.0
Freedom Mortgage Company,240,0,0,0,0.7602,1.0,1.0,0.0,0.0,0.0,100.0,100.0
"SELECT PORTFOLIO SERVICING, INC.",341,0,0,0,0.7896,1.0,1.0,0.0,0.0,0.0,100.0,100.0
"SANTANDER HOLDINGS USA, INC.",166,0,0,0,0.7545,1.0,1.0,0.0,0.0,0.0,100.0,100.0
"Rocket Mortgage, LLC",139,0,0,0,0.7541,1.0,1.0,0.0,0.0,0.0,100.0,100.0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",670,0,0,0,0.9258,1.0,1.0,0.0,0.0,0.0,100.0,100.0
Specialized Loan Servicing Holdings LLC,199,0,0,0,0.7683,1.0,1.0,0.0,0.0,0.0,100.0,100.0
