company,count,percent
MANN FINANCIAL INC.,10,0.0
"North Shore Equities, Inc.",10,0.0
"Wildhorse Financial Services, LLC",10,0.0
ACRE MORTGAGE,10,0.0
NAFCO Finance,10,0.0
"Adonis Auto Group, LLC",10,0.0
United Acceptance Inc.,10,0.0
Vehicle Solutions Corp,10,0.0
"Premier Mortgage Resources, LLC",10,0.0
Mortgage One Funding LLC,10,0.0
"Capitol Credit Services, Inc",10,0.0
"NEW IMAGITAS, INC",10,0.0
"OLIPHANT FINANCIAL, LLC",10,0.0
Home Credit Corp. Inc.,10,0.0
"Muskegon Car Credit, Inc.",10,0.0
ICUL Service Corporation,10,0.0
"TRIDENT MORTGAGE COMPANY, LP",10,0.0
"CoinZoom, Inc.",10,0.0
First Bancorp North Carolina,10,0.0
Source Receivables Management LLC,10,0.0
"EMI Equity Mortgage, Inc.",10,0.0
"CarFinance Capital LLC, Irvine, CA Branch",10,0.0
Red River Credit Corporation,10,0.0
FIRST MORTGAGE COMPANY,10,0.0
"Nudge Funding, LLC",10,0.0
Family First Funding LLC,10,0.0
"BMANSOL Intermediate Holdings, Inc.",10,0.0
SHAPESHIFT AG,10,0.0
Grey Inc,10,0.0
GENWORTH FINANCIAL INC.,10,0.0
"JOHN GIBSON AUTO SALES, INC.",10,0.0
Ghidotti | Berger LLP,10,0.0
"Solidifi US, Inc.",10,0.0
"ShoulderTap Technologies, Inc. d/b/a Fizz",10,0.0
PNB INTERNATIONAL INVESTMENTS CORPORATION,10,0.0
Funding Metrics LLC,10,0.0
"Peritus Portfolio Services II, LLC",10,0.0
Global Trust Management LLC,10,0.0
"Star Loans of Texas, Inc.",10,0.0
"Peoples Home Equity, Inc.",10,0.0
FastBucks,10,0.0
"First National Collection Bureau, Inc.",10,0.0
"DOLEX DOLLAR EXPRESS, INC.",10,0.0
Washington Trust Bank Financial Corporation,10,0.0
Guidiville Indian Rancheria,10,0.0
"LoanFlight Lending, LLC",10,0.0
Colony Ridge Inc.,10,0.0
"Money Management International, Inc.",10,0.0
Unifin Inc.,10,0.0
BIYING Inc,10,0.0
"MILEND, INC.",10,0.0
"HW Holding, Inc",10,0.0
CashMax LLC,10,0.0
Golden Title Loans LLC,10,0.0
Trusted Mortgage Capital Inc,10,0.0
"Chek Cash, Inc.",10,0.0
"AXIA FINANCIAL, LLC",10,0.0
Business Financing Corporation,10,0.0
BROADVIEW MORTGAGE CORPORATION,10,0.0
"Worldwide Processing Group, LLC",9,0.0
ASPIRE FINANCIAL INC.,9,0.0
United National Services,9,0.0
Personal Finance Center,9,0.0
Merchants Acceptance Corp,9,0.0
"Liberty Home Equity Solutions, Inc.",9,0.0
D2 Management LLC,9,0.0
"Midwest Fidelity Services, LLC",9,0.0
"JH Portfolio Debt Equities, LLC",9,0.0
"Paramount Capital Group, Inc.",9,0.0
"Zeus Mortgage, Ltd.",9,0.0
Homespire Mortgage Corp,9,0.0
"Scratch Services, Inc.",9,0.0
"ORG GC GP BUYER, LLC",9,0.0
River Financial Inc.,9,0.0
Helm Associates,9,0.0
SET Financial Corporation,9,0.0
"UNIFOUR FINANCIAL SERVICES, LLC",9,0.0
Sombrero Capital LLC,9,0.0
"Lend Smart Mortgage, LLC",9,0.0
"Creative Finance, Inc.",9,0.0
"Manor Resources, LLC",9,0.0
TAMMAC HOLDINGS CORP,9,0.0
"Collins Asset Group, LLC",9,0.0
HOMESTEAD FUNDING CORPORATION,9,0.0
"Autovest, L.L.C.",9,0.0
"ARS National Services, Inc.",9,0.0
Enium Capital Group LLC,9,0.0
KEYSTONE EQUIPMENT FINANCE CORP.,9,0.0
Rent Recovery Solutions,9,0.0
Maxitransfers LLC,9,0.0
Global Credit & Collection Corporation,9,0.0
"Metropolitan Home Mortgage, Inc.",9,0.0
"Omnex Group, Inc.",9,0.0
"CCI Financial, Inc",9,0.0
PRIORITY PLUS FINANCIAL LLC,9,0.0
iFreedom Direct Corporation,9,0.0
EnTrust Funding,9,0.0
"United Debt Holdings, LLC",9,0.0
"Nationwide Capital Services, LLC",9,0.0
"NCD Financial, LLC",9,0.0
Cliff Lending Inc. d/b/a Advance Loan Solutions,9,0.0
"1ST ALLIANCE LENDING, LLC",9,0.0
"SW Linear Investment Group, LLC",9,0.0
"Action Credit, LLC",9,0.0
SCS Credit Corporation,9,0.0
Credence Funding Corporation,9,0.0
"AUTO FINANCE USA, LLC",9,0.0
CIS DIRECT LENDING,9,0.0
"Nationwide Biweekly Administration, Inc.",9,0.0
Loan Cabin Inc.,9,0.0
Total Finance AC LLC,9,0.0
Optima Advocates,9,0.0
"HUNTINGTON NATIONAL BANK, THE - FIRSTMERIT BANK, N.A. BRANCH",9,0.0
"Tomo Networks, Inc.",9,0.0
"V.I.P. MORTGAGE, INC.",9,0.0
"First Equity Mortgage Bankers, Inc.",9,0.0
DreamSpring,9,0.0
ZuntaFi Corp,9,0.0
"Imperium Lending, LLC",9,0.0
Renew Financial Holdings Inc,9,0.0
"FRANKLIN FIRST FINANCIAL, LTD",9,0.0
American Mortgage Service Company,9,0.0
"French Financial, Inc.",9,0.0
"Cedar Holdings, Inc.",9,0.0
"American Cycle Finance, Inc.",9,0.0
PREMIUM MORTGAGE CORP,9,0.0
STELLAR BANCORP INC.,9,0.0
"American Heritage Lending, LLC",9,0.0
"TJC Mortgage, Inc.",9,0.0
"Cherry Creek Corporate, LLC",9,0.0
"Gurstel Law Firm, P.C.",9,0.0
Cstone Mortgage Inc,9,0.0
"IMC Capital, LLC",9,0.0
EIC Enterprises,9,0.0
Bear Claw Lending dba Lucent Cash,9,0.0
Tesani Management Inc,9,0.0
"National Finance Company, Inc.",9,0.0
"James E. Albertelli, P.A., a Florida professional association",9,0.0
"TNT Financial, Inc.",9,0.0
"Auto Acceptance, LLC",9,0.0
Modoc Tribe Financial Services Authority,9,0.0
UnBanked,9,0.0
"SFS, Inc",9,0.0
ROCKY MOUNTAIN MORTGAGE COMPANY,9,0.0
"Nationwide Title Clearing, Inc.",9,0.0
"NRA Group, LLC",9,0.0
"Pioneer Credit Company, Inc",9,0.0
OAKTREE FUNDING CORPORATION,9,0.0
AFNI INC.,9,0.0
Lewis & Clark Capital LLC,8,0.0
"Coast2Coast Mortgage, LLC",8,0.0
"Globe Acceptance, Inc.",8,0.0
CREDIGY USA CORP.,8,0.0
"Wheels of Chicago, Inc.",8,0.0
ETHOS LENDING LLC,8,0.0
LAKEVIEW LENDING LLC,8,0.0
"VICTORIAN FINANCE, LLC",8,0.0
Lazega & Johanson LLC,8,0.0
EUSTIS MORTGAGE CORPORATION,8,0.0
First Mortgage Solutions,8,0.0
HOME FINANCE OF AMERICA,8,0.0
"ITALBANK INTERNATIONAL, INC.",8,0.0
NATIONWIDE EQUITIES CORP,8,0.0
Denefits LLC,8,0.0
Payday America Inc.,8,0.0
"Money Stash, L.L.C.",8,0.0
"Madison Auto, LLC",8,0.0
WILLOW BEND MORTGAGE,8,0.0
FRANKLIN LOAN CORPORATION,8,0.0
"Time Investment Company, Inc.",8,0.0
"Bristlecone, Inc.",8,0.0
"Money Transfer Acquisition, Inc.",8,0.0
Visio Financial Services Inc.,8,0.0
"CFAM Financial Services, LLC",8,0.0
"Asset Recovery Solutions, LLC",8,0.0
"1ST FINANCIAL, INC.",8,0.0
"William D. Meeker Enterprises, Inc.",8,0.0
Golden Entropy Marketing Inc,8,0.0
"Neighborhood Autos, LLC",8,0.0
Bayside Credit,8,0.0
Mechoopda Indian Tribe of Chico Rancheria,8,0.0
"Equity Settlement Services, Inc.",8,0.0
"Associated Credit Services, Inc.",8,0.0
Best Capital Funding,8,0.0
Hawk Inc,8,0.0
"Persolve, LLC - Legal - Series 2",8,0.0
F&L Marketing Enterprises LLC,8,0.0
"Monarch Recovery Holdings, Inc.",8,0.0
AmNet ESOP Corporation,8,0.0
Partners for Payment Relief,8,0.0
"FAIR COLLECTIONS & OUTSOURCING, INC.",8,0.0
"PRG Ventures, Inc",8,0.0
Torriere Holdings INC,8,0.0
"TFC Group, LLC",8,0.0
LENDER LIVE,8,0.0
"Pacific Home Loans, Inc",8,0.0
Federal Financial Services Inc,8,0.0
Oracle Financial Group LLC.,8,0.0
FIRST CHOICE LOAN SERVICES INC.,8,0.0
"True Link Financial, Inc.",8,0.0
"All Credit Considered Mortgage, Inc.",8,0.0
"GRIFFIN FUNDING, INC.",8,0.0
ALCOVA MORTGAGE LLC,8,0.0
InstaMortgage Inc.,8,0.0
"Suttell, Hammer & White, P.S",8,0.0
"Red Mortgage, Inc.",8,0.0
"Plastyc, Inc.",8,0.0
"Location Services Holdings, LLC",8,0.0
"M/I Homes, Inc.",8,0.0
Earnest Inc.,8,0.0
JLB CORPORATION,8,0.0
"OVM FINANCIAL, INC",8,0.0
PIKE CREEK MORTGAGE SERVICES,8,0.0
"Wxw Investments, LLC",8,0.0
"National Enterprise Systems, Inc.",8,0.0
"Residential Mortgage Services Holdings, Inc.",8,0.0
"Equity Auto Finance, Inc.",8,0.0
"Citizens Savings & Loan Corporation, Chattanooga, TN Branch",8,0.0
"CHECK CASHIERS, INC.",8,0.0
"Kwikcash, Inc.",8,0.0
EXCEL FINANCE COMPANY,8,0.0
Pacific Credit Exchange Corporation,8,0.0
"McCarthy & Holthus, LLP",8,0.0
"AUTO MARKET OF FLORIDA, CORP",8,0.0
"FMA Alliance, Ltd.",8,0.0
"Dennis Dillon Auto Park and Truck Center, Inc.,",8,0.0
Main Street Personal Finance,8,0.0
Manley Deas & Kochalski LLC,8,0.0
"STL HOLDING COMPANY, LLC",8,0.0
"CJA Auto Sales, Inc.",7,0.0
"Clear Mortgage Capital, Inc.",7,0.0
Servatus Corporation,7,0.0
"Metallicus, Inc.",7,0.0
"The CBE Group, Inc.",7,0.0
"LoanSnap, Inc.",7,0.0
"American International Finance, Inc.",7,0.0
"Onward Credit Holdings, LLC",7,0.0
WALL STREET MORTGAGE BANKERS,7,0.0
Kitch Acceptance Corp.,7,0.0
Direct Cash LLC,7,0.0
"JHL, LLC",7,0.0
"Center Street Finance, LP dba CSF Servicing",7,0.0
"Aldous & Associates, PLLC",7,0.0
"Direct Mortgage Loans, LLC",7,0.0
Sarma,7,0.0
"BOGMAN, INC",7,0.0
"My Mortgage, Inc.",7,0.0
DRIVE NOW ACCEPTANCE LLC,7,0.0
"GCFS, INC.",7,0.0
High Performance Capital,7,0.0
"MarkOne Holdings, LLC",7,0.0
"Lloyd & McDaniel, PLC",7,0.0
Lowcountry Credit Inc.,7,0.0
Mortgage Connect LP,7,0.0
United Mortgage Lending LLC,7,0.0
Innovis,7,0.0
"Rapid Investments Holdings, Inc",7,0.0
NOVA Financial & Investment Corporation,7,0.0
"City First Mortgage Services, LLC.",7,0.0
"Ability Recovery Services, LLC",7,0.0
"Summit AmeriFirst Holdings, Inc.",7,0.0
IOWA BANKERS MORTGAGE CORPORATION,7,0.0
"CHECKredi of Kentucky, LLC",7,0.0
Credit Card Receivables Fund Incorporated,7,0.0
Ray Skillman GMC Truck Inc,7,0.0
"Vitek Real Estate Industries Group, Inc.",7,0.0
Kirkland Financial LLC,7,0.0
IQOR US INC,7,0.0
Skyline Financial Corp.,7,0.0
CBC Mortgage Agency,7,0.0
Servicer under contract with Federal Student Aid,7,0.0
Marine One Acceptance Corporation,7,0.0
Integrity Financial Corp. DBA US Loan Servicing,7,0.0
Wharthog Ventures LLC dba Loans Not Sharks,7,0.0
Fortren Funding LLC,7,0.0
Auto Credit of Virginia Inc.,7,0.0
"Atlanta Check Cashers, Inc",7,0.0
"Rubin & Rothman, LLC",7,0.0
Absolute Home Mortgage Corporation,7,0.0
"January Technologies, Inc",7,0.0
I.A.C. INC,7,0.0
Buffalo Auto Acceptance Corp.,7,0.0
Home Servicing LLC,7,0.0
"FIRST CALIFORNIA MORTGAGE CO., INC.",7,0.0
Clark County Collection Service,7,0.0
Smith Debnam Narron Drake Saintsing & Myers LLP,7,0.0
Oklahoma Motor Credit Company,7,0.0
"BitGo Holdings, Inc.",7,0.0
Foreman Financial Inc.,7,0.0
PRIMERA FINANCIAL CORP.,7,0.0
Liberty Home Mortgage Corporation,7,0.0
Patrick K Willis Company Inc,7,0.0
First Colony Mortgage Corp.,7,0.0
The Cadle Company,7,0.0
Informative Research,7,0.0
Title365 Holding Co.,7,0.0
"Fidelity Direct Mortgage, LLC",7,0.0
"Constar Financial Services, LLC",7,0.0
"RESMAC, INC.",7,0.0
"ROC Asset Solutions, LLC",7,0.0
"MLB Residential Lending, LLC",7,0.0
"Trident Asset Management, L.L.C.",7,0.0
Arapahoe Motors,7,0.0
Clarity Services,7,0.0
"Wheel City Motors East, Inc.",7,0.0
"Nationwide Debt Reduction Services, LLC",7,0.0
"Cascade Mortgage, Inc.",7,0.0
GREAT LAKES,7,0.0
VIN Title LLC d/b/a Discount Title Loan,7,0.0
Allied Financial Services Inc,7,0.0
FirstPoint Collection Resources,7,0.0
Steel Lending Group LLC,7,0.0
Franklin Financial  Corporation,7,0.0
B&F Finance Corp.,7,0.0
"NexGen Proceed, LLC",7,0.0
First Reliance Holdings LLC,7,0.0
"Simple Cash Loans, Inc.,",7,0.0
"Applied Business Services, Inc.",7,0.0
Ardmore Finance Corporation,7,0.0
"Capital Benefit, Inc.",7,0.0
Rock Holdings Inc.,7,0.0
"Orchard Mortgage, LLC",7,0.0
Genesis Lending,7,0.0
Northwood Asset Management Group,6,0.0
"DynaGen Lending, LLC",6,0.0
"INTER & CO PAYMENTS, INC.",6,0.0
"MDE Home Loans, LLC",6,0.0
"Splash Financial, Inc.",6,0.0
"Bizcorp, LLC",6,0.0
"PALOMAR ENTERPRISES, LLC",6,0.0
"Webcollex, LLC",6,0.0
"FactorTrust, Inc.",6,0.0
AMERICASH,6,0.0
Integrated Recovery Services,6,0.0
"Diversified Consultants, Inc.",6,0.0
"EOS Holdings, Inc.",6,0.0
Greyhound Capital Group LLC,6,0.0
"Javitch, Block & Rathbone LLC",6,0.0
"BorrowersFirst, Inc.",6,0.0
Houston Finance Co.,6,0.0
Deer Creek Lending,6,0.0
Blue Brick Financial LLC,6,0.0
Peoples Financial Corp.,6,0.0
"Commonwealth Financial Systems, Inc.",6,0.0
Nations Mortgage LLC,6,0.0
CapitalCredit LLC,6,0.0
"Tiffany & Bosco, P.A.",6,0.0
"Cascade Capital, LLC",6,0.0
"Veristone Mortgage, LLC",6,0.0
"Global Payments Check Services, Inc.",6,0.0
"Lockhart, Morris & Montgomery Inc.",6,0.0
EZ FUNDINGS Inc.,6,0.0
"Atlantic Mortgage and Funding, Inc.",6,0.0
"Cashbak, LLC",6,0.0
"Del Toro Loan Servicing, Inc",6,0.0
"RCN Capital, LLC",6,0.0
"LendUS, LLC",6,0.0
"Shapiro, DiCaro & Barak, LLC",6,0.0
"ONY GLO, INC.",6,0.0
Liberal Finance Service,6,0.0
Student Services,6,0.0
"Prepaid Ventures, LTD",6,0.0
"Pine Court Holdings, LLC",6,0.0
"Southwest Recovery Services, Inc.",6,0.0
Nala Payments LLC,6,0.0
"A+ Loans, Inc.",6,0.0
Texan Credit Corporation,6,0.0
Motormax Financial Services Inc.,6,0.0
TekCollect Inc.,6,0.0
"Jersey Mortgage Company of New Jersey, Inc.",6,0.0
General Mortgage Capital Corporation,6,0.0
NTFN INC.,6,0.0
"Travelex NY, Inc.",6,0.0
"BAM Financial, LLC",6,0.0
First Associates Loan Servicing LLC,6,0.0
"1 STOP MONEY CENTERS, LLC",6,0.0
Diverse Funding Associates LLC,6,0.0
CU MORTGAGE SERVICES INC.,6,0.0
"Dealer Funding, LLC",6,0.0
"SERVISFIRST BANCSHARES, INC.",6,0.0
"W&A Intermediate Co., LLC",6,0.0
Nationwide Financial Group,6,0.0
Patenaude & Felix A Professional Corporation,6,0.0
CITIZENS FIRST WHOLESALES MORTGAGE,6,0.0
Pendleton & Sutton LLC,6,0.0
"Bastion Consumer Funding I, LLC",6,0.0
DAIMLER TRUCK FINANCIAL SERVICES USA LLC,6,0.0
MITSUBISHI HC CAPITAL (U.S.A.) INC.,6,0.0
"SB Holdings, Inc.",6,0.0
Tidalwave Finance Corporation,6,0.0
"RAS LaVrar, LLC",6,0.0
"NOTE SERVICING CENTER, INC.",6,0.0
Mediation Recovery Center,6,0.0
"Seed Consulting, LLC",6,0.0
"FIRST PRIORITY MORTGAGE, INC.",6,0.0
"ROAD Auto Finance, LLC",6,0.0
TCN Inc,6,0.0
Student Loan Financial Assistance,6,0.0
Hypotec Inc.,6,0.0
ATLANTIC PACIFIC MORTGAGE CORP,6,0.0
Nexera Holding LLC,6,0.0
"MERCANTILE ADJUSTMENT BUREAU, LLC",6,0.0
Checkbook Inc,6,0.0
"The Orange Coast Company, LLC",6,0.0
Residential Credit Opportunities Trust,6,0.0
Tater Inc.,6,0.0
Merchants Automotive Group LLC,6,0.0
"Probate Advance Holdco, LLC",6,0.0
"Direct Recovery Services, LLC",6,0.0
SERVICELINK LOSS MITIGATION SERVICES,6,0.0
La Casa Bonita Investments,6,0.0
"Car Credit Finance, LLC",6,0.0
"United Check Recovery Bureau, Inc.",6,0.0
"Leafy Financial, LLC",6,0.0
SC Opportunity Fund LLC,6,0.0
Lightning Mortgage Holding Company Inc,6,0.0
"National Asset Direct, Inc.",6,0.0
"Levy & Associates, LLC",6,0.0
"Franklin Mortgage Solutions, LLC",6,0.0
"TDF Financial Services, Inc.",6,0.0
"Mandarich Law Group, LLP",6,0.0
Model Finance Company,6,0.0
"Adler Wallach & Associates, Inc.",6,0.0
Moneydart Global Services Inc.,6,0.0
"Sky Group USA, LLC",6,0.0
Sierra Credit Corp,6,0.0
LYON SERVICES CORPORATION,6,0.0
MAJR Financial Corp,6,0.0
"WALLICK AND VOLK, INC",6,0.0
Finco Holding Company LLC,6,0.0
FIRST ALLIANCE HOME MORTGAGE,6,0.0
GREATER SUBURBAN ACCEPTANCE CORPORATION,6,0.0
"Inter-Cambio Express, Inc.",6,0.0
"Financial Recovery Services, Inc.",6,0.0
Midwest Finance Corporation,6,0.0
CERTAINTY HOME LOANS LLC,6,0.0
"Medical Data Systems, Inc.",6,0.0
Lendtable Inc.,6,0.0
"WINN LAW GROUP, APC",6,0.0
"Blue Global Media, Inc.",6,0.0
"Winthrop Financial Resources, LLC",6,0.0
"Strategic Financial Solutions, LLC",5,0.0
River City Mortgage LLC,5,0.0
"Line 5, LLC",5,0.0
"Dynamic Recovery Solutions, LLC",5,0.0
HANCOCK MORTGAGE PARTNERS LLC,5,0.0
HomePlus Corporation,5,0.0
TEAM USA MORTGAGE L.L.C.,5,0.0
"Second Round Limited Partnership, Austin, TX Branch",5,0.0
CreditWorks LLC,5,0.0
"VERITEX HOLDINGS, INC.",5,0.0
Higher Level Processing,5,0.0
Crown Mortgage Co.,5,0.0
Envios de Valores La Nacional Corp.,5,0.0
"First Southwestern Financial Services, LLC",5,0.0
Coconut Funding Corporation,5,0.0
SENTE MORTGAGE,5,0.0
"Millsap & Singer, LLC",5,0.0
Royalty Management Corporation,5,0.0
"MINNESOTA LIFE INSURANCE CO., THE",5,0.0
"Barnhall Financial Services, Inc.",5,0.0
PREFERRED MORTGAGE CORPORATION,5,0.0
"Temple View Capital Funding, LP",5,0.0
"Universal Capital Services, Inc.",5,0.0
Enterprise Acquisitions,5,0.0
"S&N Debt Solutions, LLC",5,0.0
"Kass Shuler, P.A.",5,0.0
First Commonwealth Mortgage Corp.,5,0.0
Saddleback Acceptance Corporation,5,0.0
"Rubin Lublin, LLC",5,0.0
"Chicago Car Center, Inc.",5,0.0
"Omega RMS, LLC",5,0.0
Auto Credit of Southern Ilinois,5,0.0
FACTUAL DATA CORP.,5,0.0
"Complete Credit Solutions, Inc.",5,0.0
NATIONAL DEBT RELIEF LLC,5,0.0
Sol Acceptance,5,0.0
AMERICAN SECURITY MORTGAGE CORPORATION,5,0.0
DELMAR FINANCIAL COMPANY,5,0.0
"HFG Holdings, Inc.",5,0.0
The Capital Good Fund,5,0.0
SBG Financial,5,0.0
"Tri-Emerald Financial Group, Inc.",5,0.0
"McCarthy, Burgess & Wolff, Inc.",5,0.0
"Global Processing Services, LLC",5,0.0
Jet Direct Funding Corp,5,0.0
"Lendgo, Inc.",5,0.0
"Kornerstone Credit,  LLC.",5,0.0
"Lendsmart, Inc.",5,0.0
"FC LENDING, LTD.",5,0.0
"Strategic Alliances, Inc.",5,0.0
"Go Companies, LLC",5,0.0
Windham Equity Company,5,0.0
"Columbus Capital Lending, LLC, Miami, FL Branch",5,0.0
NORTHERN OHIO INVESTMENT COMPANY,5,0.0
Independent Savings Plan Co.,5,0.0
"Acceptance Rentals, Inc.",5,0.0
American Mortgage Investment Partners Fund I Trust,5,0.0
"CU Alliance, LLC",5,0.0
"Aargon Agency, Inc.",5,0.0
"Credit Technologies, Inc.",5,0.0
PRESTAMOS RAPIDITOS,5,0.0
Town Financial Corporation,5,0.0
"Great Western Financial Services, Inc.",5,0.0
West Virginia Housing Development Fund,5,0.0
ADESA CORPORATION,5,0.0
"Continental Services Group, Inc. d/b/a ConServe",5,0.0
Podium Mortgage Capital LLC,5,0.0
"Western Benefits Group, LLC",5,0.0
"NEU Money, Inc.",5,0.0
Core Capital Lending LLC,5,0.0
"Northwest Trustee Services, Inc.",5,0.0
Title Security Agency LLC,5,0.0
CITYWIDE HOME LOANS A UTAH CORPORATION,5,0.0
"Town Square Mortgage & Investments, LLC",5,0.0
Currencies Direct Inc.,5,0.0
Illinois Lending Corporation,5,0.0
Hilco Receivables LLC,5,0.0
GARDEN STATE HOME LOANS INCORPORATED,5,0.0
Sports & Imports Auto,5,0.0
"GreenPath, Inc.",5,0.0
"Bakkt Opco Holdings, LLC",5,0.0
"SunnyHill Financial, Inc.",5,0.0
Dodge Enterprises Inc.,5,0.0
Next Door Lending LLC,5,0.0
"Main Street Holdings, Inc.",5,0.0
"Civic Financial Services, Inc.",5,0.0
Cumulus Funding LLC,5,0.0
"Soja Management Services, LLC",5,0.0
"Premier Mortgage, LLC",5,0.0
"GMA Investments, LLC",5,0.0
SCOTTRADE BANK,5,0.0
"Auto Masters, LLC",5,0.0
Ok Finance Group INC,5,0.0
"Pomelo International, Inc",5,0.0
"Nu World Title, LLC",5,0.0
Atlantic Recovery Solutions LLC,5,0.0
"BAYSHORE MORTGAGE FUNDING, LLC",5,0.0
"Upstate Premier Mortgage, Inc.",5,0.0
Chaos Home Loans LLC,5,0.0
"BTS Motors, LLC",5,0.0
Check N Title Loans,5,0.0
"FM Home Loans, LLC",5,0.0
Richard A. Weidel Corporation,5,0.0
"RELIABLE FINANCIAL SERVICES, INC.",5,0.0
NAM National Arbitration and Mediation,5,0.0
"3G+1, Inc. dba California Auto Finance",5,0.0
AMERICAN EQUITY MORTGAGE,5,0.0
"SEMPER HOME LOANS, INC",5,0.0
Ocean Lending Home Loans,5,0.0
"Pressler & Pressler, LLP",5,0.0
American Lending Finance,5,0.0
YALE MORTGAGE CORPORATION,5,0.0
"Empire Home Loans, Inc.",5,0.0
"Allied International Credit Corp., (US)",5,0.0
EF CORPORATE HOLDINGS LLC,5,0.0
Loantopia,5,0.0
"KAHRS LAW OFFICES, PA",5,0.0
"Revco Management, LLC",5,0.0
"WAKEFIELD & ASSOCIATES, INC.",5,0.0
"Apex Funding Group, Inc.",5,0.0
"Financial Credit Service, Inc.",5,0.0
"Atlantic Credit & Finance, Inc.",5,0.0
POLARIS HOME FUNDING CORP,5,0.0
Financial Assistance Inc,5,0.0
Delbert Services,5,0.0
Credit Lending Services Inc.,5,0.0
Access Financial LLC,5,0.0
"MUSA Holdings, LLC",5,0.0
"CMM Finance, Inc.",5,0.0
"Trustly, Inc.",5,0.0
"Capital Alliance Financial, LLC",5,0.0
"DMB Financial, LLC",5,0.0
BID SOLUTIONS LLC,5,0.0
"Family Choice Financial, Inc.",5,0.0
ATLANTIC HOME LOANS INC.,5,0.0
"Synergy One Lending, Inc.",5,0.0
"NATIONAL FUNDING, INC.",5,0.0
GERSHMAN INVESTMENT CORPORATION,5,0.0
Strategic Dealer Services,5,0.0
Revenued LLC,5,0.0
"CHACON AUTOS, LTD.",5,0.0
"GOOGAIN, INC.",5,0.0
"Core Advisory Group, LLC",5,0.0
LOAN SERVICING GROUP,5,0.0
"Cedars Business Services, LLC",5,0.0
LJ Ross Associates,5,0.0
BULBUL INVESTMENTS LLC,5,0.0
Point Up Inc,5,0.0
"Collections Acquisition Company, Inc.",5,0.0
ROSS MORTGAGE CORPORATION,5,0.0
"SOUTHPOINT FINANCIAL SERVICES, INC.",5,0.0
"OS National, LLC",5,0.0
"MIDWEST EQUITY MORTGAGE, LLC",4,0.0
"Cohn, Goldberg & Deutsch,LLC",4,0.0
"CFS Holdings, Inc",4,0.0
LEVEL 4 FUNDING LLC,4,0.0
Easyknock,4,0.0
Access Loan Services Inc.,4,0.0
"Data and Contact Management Solutions, LLC",4,0.0
"Lyons, Doughty & Veldhuis, PC",4,0.0
"Esusu, Inc.",4,0.0
Bubba Hill Auto Plaza Inc,4,0.0
"Capital For Change, Inc.",4,0.0
"Equity Sales Finance, Inc.",4,0.0
GREENTREE MORTGAGE CO. L.P.,4,0.0
"Virtual Assets, LLC",4,0.0
"DRB-40, LLC",4,0.0
"Drees Company, Inc.",4,0.0
Flagship Financial Group,4,0.0
"Michel Law, LLC d/b/a Level One Law",4,0.0
Linebarger Goggan Blair & Sampson LLP,4,0.0
"Reali, Inc.",4,0.0
"Primary Capital Mortgage, LLC",4,0.0
"Key Management Company of Missouri, LLC.",4,0.0
UNITED SECURITY FINANCIAL,4,0.0
Nations Info Corp,4,0.0
Meridian Buyer’s Group,4,0.0
"National Asset Advisors, LLC",4,0.0
"Troy Capital, LLC",4,0.0
Master Finance Company,4,0.0
"State Cap Auto Finance, Inc",4,0.0
Amerifund Home Mortgage LLC,4,0.0
"Lendmart, LLC",4,0.0
PARK NATIONAL CORPORATION,4,0.0
Courtesy Loans of Oklahoma LLC.,4,0.0
"Direct Mortgage, Corp.",4,0.0
"DLF Law Group, LLC",4,0.0
"MortgageOne, Inc.",4,0.0
"Prospect Financial Group, Inc",4,0.0
Unifirst Mortgage Corporation,4,0.0
"Global Financial Mortgage, LLC.",4,0.0
"Caramel Dealer Services, LLC",4,0.0
"West Bay Leasing Services, LLC",4,0.0
"Auto Properties II, LLC",4,0.0
Coast Acceptance Corporation,4,0.0
"Collection Management Holdings, LLC",4,0.0
Xtreme Products LLC,4,0.0
"Groves Capital, Inc.",4,0.0
"MORTGAGE CAPITAL ASSOCIATES, INC.",4,0.0
"Continental Currency Services, Inc.",4,0.0
Arco Collection Services LLC,4,0.0
Get Financed LLC,4,0.0
"Pinnacle Asset Management, LLC",4,0.0
Forthright Funding Corporation,4,0.0
"First Choice Lending Services, LLC",4,0.0
Catch Financial Inc,4,0.0
Beacon Funding Corporation,4,0.0
"Forward Funding Group, Inc.",4,0.0
"CrossCheck, Inc.",4,0.0
HomeXpress Mortgage Corp.,4,0.0
"Nationwide Loan Consultants and Advisors, LLC",4,0.0
Quest Legal Group,4,0.0
"FIRST METROPOLITAN FINANCIAL SERVICES, INC.",4,0.0
DOAN SOLUTIONS,4,0.0
"Pangea Universal Holdings, Inc.",4,0.0
"Lynx Asset Services, LLC",4,0.0
"MORTGAGE UNLIMITED, LLC",4,0.0
AUTO CREDIT USA,4,0.0
"DEBT 0, INC",4,0.0
"HARTFORD FUNDING, LTD",4,0.0
"Pinnacle Lending Group, Inc.",4,0.0
"Zebit, Inc.",4,0.0
Sterling Credit Corp.,4,0.0
AVANTE,4,0.0
"Roosen, Varchetti & Olivier, PLLC",4,0.0
City First Mortgage Corp,4,0.0
Huntington Debt Holding LLC,4,0.0
Nextep Funding LLP,4,0.0
"ThunderRoad Financial, LLC",4,0.0
Capitol Loans,4,0.0
GSA Commercial Asset Management,4,0.0
