company,count,percent
CITY NATIONAL BANK,168,0.01
Yamaha Motor Finance Corporation USA,167,0.01
Chrysalis Holdings LLC,165,0.01
"Skopos Financial, LLC",164,0.01
"COMMUNITY FINANCIAL SYSTEM, INC.",162,0.01
"Stearns Ventures, LLC",162,0.01
"Total Card, Inc.",162,0.01
BANKERS HEALTHCARE GROUP LLC,162,0.01
"Fidelity National Financial, Inc",161,0.01
"National Credit Adjusters, LLC",160,0.01
Sunlight Financial LLC,158,0.01
"Veros Credit, LLC",158,0.01
"Sunbit, Inc.",157,0.01
"PLS GROUP, INC",157,0.01
"WESBANCO BANK, INC.",156,0.01
"APPLE FINANCIAL HOLDINGS, INC.",156,0.01
"DailyPay, Inc",156,0.01
ONEMAIN FINANCE CORPORATION,155,0.01
RENASANT CORPORATION,155,0.01
Minto Financial dba Minto Money,155,0.01
CIG FINANCIAL LLC,154,0.01
"CUSTOMERS BANCORP, INC",154,0.01
CHECK INTO CASH INC.,154,0.01
"FIRST MIDWEST BANCORP, INC.",153,0.01
Monterey Financial Services LLC,151,0.01
2288984 Ontario Inc.,151,0.01
1st Franklin Financial Corporation,151,0.01
SECURITY SERVICE FEDERAL CREDIT UNION,148,0.01
GLOBAL CREDIT UNION,147,0.01
Southwest Business Corporation,146,0.01
"Applied Data Finance, LLC",145,0.01
MORTGAGE SOLUTIONS OF COLORADO,141,0.01
"HILLTOP HOLDINGS, INC",141,0.01
Driveway Finance Corporation,137,0.01
DHI Mortgage Company,134,0.01
"Nations Direct Mortgage, LLC",134,0.01
"Braviant Holdings, LLC",134,0.01
BANNER CORPORATION,131,0.01
Ad Astra Recovery Services Inc,131,0.01
Meta Payments Inc.,131,0.01
"TEXAS CAPITAL BANCSHARES, INC.",131,0.01
Alabama Housing Finance Authority,130,0.01
"MUTUAL OF OMAHA MORTGAGE, LLC",127,0.01
SUN LOAN COMPANY INC.,127,0.01
"CreditNinja Lending, LLC",126,0.01
UNITED COMMUNITY BANK,126,0.01
CORELOGIC INC,126,0.01
"Brightfunders, LLC",126,0.01
FIRST HORIZON BANK - WEST CONGRESS STREET BRANCH,125,0.01
SoLo Funds Inc.,124,0.01
NBT BANCORP INC.,124,0.01
FIRST AMERICAN FINANCIAL CORPORATION,124,0.01
NVR INC.,123,0.01
INVESTORS BANK,123,0.01
Cornerstone Home Lending Inc.,121,0.01
